season,adp_name,adp_team,adp_overall,adp_rb_rank,adp_start_date,adp_end_date,adp_drafts,ppr_points,ppr_ppg,games,actual_rb_rank,rank_outperformance,adp_expected_ppr,adp_residual_ppr,workload_expected_ppr,workload_residual_ppr,prior_available,prior_carries,prior_targets,prior_touches,prior_touch_share,prior_target_share,prior_i20_carries,prior_i10_carries,prior_i5_carries,prior_i20_targets,prior_i10_targets,prior_i20_share,prior_i10_share,prior_i5_share,prior_i20_rb_share,prior_i10_rb_share,prior_i5_rb_share,prior_i5_td_conversion,prior_team_i20_carries,prior_team_i10_carries,prior_team_i5_carries,prior_team_rb_i20_carries,prior_team_rb_i10_carries,prior_team_rb_i5_carries,prior_offensive_tds_per_game,prior_red_zone_trips,prior_i10_rush_rate,touch_share_delta,target_share_delta,i20_share_delta,i10_share_delta,i5_share_delta,i20_rb_share_delta,i10_rb_share_delta,i5_rb_share_delta,teammate_i5_delta,team_changed,head_coach_change
2022,Dameon Pierce,HOU,70.500000,31,2022-09-03,2022-09-04,1633,170.400000,13.107692,13.000000,25,6,170.135986,0.264014,152.066229,18.333771,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2022,Tony Pollard,DAL,70.800000,32,2022-09-03,2022-09-04,1633,248.800000,15.550000,16.000000,9,23,169.822591,78.977409,190.685938,58.114062,1,130.000000,47.000000,169.000000,0.187361,0.073209,16.000000,3.000000,2.000000,8.000000,1.000000,0.200000,0.083333,0.071429,0.250000,0.125000,0.100000,0.500000,80.000000,36.000000,28.000000,64.000000,24.000000,20.000000,3.235294,91.000000,0.467532,0.034155,0.008588,0.010811,-0.003623,-0.005495,0.020492,0.016892,0.000000,-0.085165,0,0
2022,Devin Singletary,BUF,74.400000,33,2022-09-03,2022-09-04,1633,183.900000,11.493750,16.000000,23,10,166.061850,17.838150,188.395268,-4.495268,1,188.000000,50.000000,228.000000,0.266979,0.079745,40.000000,18.000000,8.000000,6.000000,2.000000,0.363636,0.310345,0.333333,0.563380,0.500000,0.615385,0.500000,110.000000,58.000000,24.000000,71.000000,36.000000,13.000000,3.294118,85.000000,0.517857,0.022338,-0.007515,0.088636,0.110345,0.139785,0.163380,0.192308,0.315385,0.061828,0,0
2022,Rhamondre Stevenson,NE,76.000000,34,2022-09-03,2022-09-04,1633,251.100000,14.770588,17.000000,8,26,164.390410,86.709590,163.182964,87.917036,1,133.000000,18.000000,147.000000,0.175627,0.034221,25.000000,11.000000,6.000000,2.000000,1.000000,0.252525,0.215686,0.214286,0.287356,0.224490,0.214286,0.666667,99.000000,51.000000,28.000000,87.000000,49.000000,28.000000,2.823529,75.000000,0.621951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2022,Melvin Gordon III,KC,85.400000,35,2022-09-03,2022-09-04,1633,0.000000,0.000000,0.000000,154,-119,154.570697,-154.570697,143.699569,-143.699569,1,203.000000,38.000000,231.000000,0.287671,0.073077,40.000000,21.000000,11.000000,8.000000,3.000000,0.470588,0.466667,0.478261,0.540541,0.500000,0.523810,0.363636,85.000000,45.000000,23.000000,74.000000,42.000000,21.000000,2.117647,60.000000,0.562500,-0.042985,-0.008707,-0.121248,-0.200000,-0.021739,-0.203049,-0.318182,-0.142857,0.184783,1,0
2022,Cordarrelle Patterson,ATL,91.400000,36,2022-09-03,2022-09-04,1633,150.700000,11.592308,13.000000,32,4,148.302795,2.397205,160.520747,-9.820747,1,153.000000,69.000000,205.000000,0.269382,0.124324,33.000000,13.000000,7.000000,12.000000,2.000000,0.500000,0.419355,0.437500,0.578947,0.565217,0.636364,0.285714,66.000000,31.000000,16.000000,57.000000,23.000000,11.000000,1.823529,61.000000,0.462687,0.161240,0.082518,0.388889,0.284220,0.346591,0.422085,0.365217,0.511364,-0.369318,0,1
2022,James Cook III,BUF,92.000000,37,2022-09-03,2022-09-04,1633,107.700000,7.180000,15.000000,43,-6,147.676005,-39.976005,133.563467,-25.863467,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2022,Kenneth Walker,SEA,92.900000,38,2022-09-03,2022-09-04,1633,202.500000,13.500000,15.000000,18,20,146.735819,55.764181,132.788933,69.711067,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2022,Nyheim Hines,BUF,93.900000,39,2022-09-03,2022-09-04,1633,0.000000,0.000000,0.000000,154,-115,145.691169,-145.691169,134.030127,-134.030127,1,56.000000,57.000000,96.000000,0.118372,0.112648,5.000000,2.000000,0.000000,5.000000,1.000000,0.045872,0.040000,0.000000,0.050505,0.045455,0.000000,0.000000,109.000000,50.000000,36.000000,99.000000,44.000000,31.000000,2.882353,81.000000,0.555556,-0.069282,-0.028879,-0.247607,-0.266122,-0.218750,-0.267142,-0.295455,-0.259259,0.333333,1,0
2022,James Robinson,NYJ,101.500000,40,2022-09-03,2022-09-04,1633,0.000000,0.000000,0.000000,154,-114,137.751827,-137.751827,132.268188,-132.268188,1,164.000000,46.000000,195.000000,0.261044,0.078231,24.000000,17.000000,10.000000,2.000000,1.000000,0.393443,0.500000,0.454545,0.521739,0.629630,0.625000,0.700000,61.000000,34.000000,22.000000,46.000000,27.000000,16.000000,1.470588,50.000000,0.500000,-0.140062,-0.026322,-0.387045,-0.323529,-0.420455,-0.367150,-0.245370,-0.250000,0.147727,1,1
2022,Raheem Mostert,MIA,101.900000,41,2022-09-03,2022-09-04,1633,170.300000,10.643750,16.000000,26,15,137.333966,32.966034,112.407044,57.892956,1,2.000000,0.000000,2.000000,0.002413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.000000,39.000000,20.000000,39.000000,24.000000,13.000000,2.823529,68.000000,0.549296,-0.147775,-0.034111,-0.154930,-0.175000,-0.240000,-0.166667,-0.184211,-0.250000,-0.070000,1,0
2022,Kenny Gainwell,PHI,105.800000,42,2022-09-03,2022-09-04,1633,0.000000,0.000000,0.000000,154,-112,133.259830,-133.259830,121.687275,-121.687275,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2022,Tyler Allgeier,ATL,107.600000,43,2022-09-03,2022-09-04,1633,157.400000,9.837500,16.000000,29,14,131.379460,26.020540,120.138207,37.261793,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2022,J.D. McKissic,WAS,110.200000,44,2022-09-03,2022-09-04,1633,53.800000,6.725000,8.000000,62,-18,128.663369,-74.863369,138.496928,-84.696928,1,49.000000,54.000000,92.000000,0.111111,0.100372,7.000000,5.000000,4.000000,4.000000,3.000000,0.084337,0.104167,0.125000,0.107692,0.138889,0.160000,0.250000,83.000000,48.000000,32.000000,65.000000,36.000000,25.000000,2.000000,64.000000,0.640000,-0.101518,-0.090600,-0.115663,0.006606,0.031250,-0.125641,0.021242,0.044615,0.156250,0,0
2022,Darrell Henderson Jr.,JAX,111.900000,45,2022-09-03,2022-09-04,1633,0.000000,0.000000,0.000000,154,-109,126.887463,-126.887463,127.870676,-127.870676,1,149.000000,40.000000,178.000000,0.220025,0.066116,26.000000,13.000000,9.000000,9.000000,4.000000,0.317073,0.325000,0.529412,0.346667,0.351351,0.562500,0.555556,82.000000,40.000000,17.000000,75.000000,37.000000,16.000000,3.000000,80.000000,0.421053,0.038421,0.023487,-0.016260,0.001923,0.239938,-0.043577,-0.030467,0.183190,0.174923,1,0
