season,adp_name,adp_team,adp_overall,ppr_points,ppr_ppg,adp_residual_ppr,workload_residual_ppr,touch_share_delta,target_share_delta,i20_share_delta,i10_share_delta,i5_share_delta,i20_rb_share_delta,i10_rb_share_delta,i5_rb_share_delta,teammate_i5_delta,head_coach_change,team_changed,two_year_available,role_change_category
2023,Elijah Mitchell,SF,115.100000,47.500000,4.318182,-66.385771,-59.521189,-0.214436,-0.032144,-0.214521,-0.159244,-0.161765,-0.356643,-0.269144,-0.241758,0.123529,0,0,1,DECLINING
2022,James Robinson,NYJ,101.500000,0.000000,0.000000,-137.751827,-132.268188,-0.140062,-0.026322,-0.387045,-0.323529,-0.420455,-0.367150,-0.245370,-0.250000,0.147727,1,1,1,DECLINING
2023,Najee Harris,PIT,30.400000,197.500000,11.617647,-12.260053,-33.339092,-0.097422,-0.046668,-0.186538,-0.189130,-0.185520,-0.235484,-0.241379,-0.250000,0.074661,0,0,1,DECLINING
2022,Raheem Mostert,MIA,101.900000,170.300000,10.643750,32.966034,57.892956,-0.147775,-0.034111,-0.154930,-0.175000,-0.240000,-0.166667,-0.184211,-0.250000,-0.070000,0,1,1,DECLINING
2023,Rashaad Penny,PHI,97.300000,4.800000,1.600000,-129.234085,-107.254648,-0.096345,-0.007798,-0.248504,-0.238095,-0.222222,-0.276523,-0.255061,-0.250000,0.777778,0,1,1,DECLINING
2022,Nyheim Hines,BUF,93.900000,0.000000,0.000000,-145.691169,-134.030127,-0.069282,-0.028879,-0.247607,-0.266122,-0.218750,-0.267142,-0.295455,-0.259259,0.333333,0,1,1,DECLINING
2022,Kareem Hunt,CLE,68.900000,126.800000,7.458824,-45.007427,-36.914916,-0.169278,-0.055189,-0.250000,-0.175656,-0.264090,-0.296765,-0.230769,-0.270000,0.033816,0,0,1,DECLINING
2023,Cordarrelle Patterson,ATL,132.400000,36.900000,3.354545,-57.403420,-48.313453,-0.064921,-0.047210,-0.225664,-0.164036,-0.141204,-0.245614,-0.257525,-0.272727,0.094907,0,0,1,DECLINING
2023,Javonte Williams,DEN,72.800000,177.200000,11.075000,15.433684,28.416020,-0.225685,-0.059488,-0.267145,-0.328736,-0.334783,-0.218919,-0.250000,-0.276190,-0.078261,1,0,1,DECLINING
2024,Kenneth Walker,SEA,35.600000,181.200000,16.472727,-17.176287,-10.240942,0.019743,0.004332,-0.207143,-0.248391,-0.347826,-0.223162,-0.248355,-0.285714,0.260870,0,0,1,DECLINING
2022,David Montgomery,CHI,39.300000,181.700000,11.356250,-21.029076,-20.221145,-0.049637,-0.017121,-0.146895,-0.103194,-0.140152,-0.239029,-0.232727,-0.287500,0.075758,0,0,1,DECLINING
2022,Derrick Henry,TEN,4.300000,304.600000,19.037500,65.308163,68.456578,-0.216842,-0.027576,-0.275735,-0.251623,-0.258201,-0.294697,-0.295455,-0.290598,0.059259,0,0,1,DECLINING
2024,Rhamondre Stevenson,NE,62.000000,177.500000,11.833333,5.766350,2.294460,-0.112030,-0.078318,-0.103086,-0.193750,-0.266667,-0.173524,-0.257519,-0.291667,0.355556,0,0,1,DECLINING
