season,adp_name,adp_team,adp_overall,ppr_points,ppr_ppg,adp_residual_ppr,workload_residual_ppr,prior_carries,prior_targets,prior_touch_share,prior_i20_share,prior_i10_share,prior_i5_share,prior_highest_teammate_i20_name,prior_highest_teammate_i20_position,prior_highest_teammate_i20_share,prior_highest_teammate_i20_rush_tds,prior_highest_teammate_i10_name,prior_highest_teammate_i10_position,prior_highest_teammate_i10_share,prior_highest_teammate_i10_rush_tds,prior_highest_teammate_i5_name,prior_highest_teammate_i5_position,prior_highest_teammate_i5_share,prior_highest_teammate_i5_rush_tds,prior_highest_other_rb_i5_share,prior_non_rb_i10_share,prior_non_rb_i5_share,prior_qb_i5_share,prior_te_hybrid_i5_share,prior_short_yardage_specialist,prior_specialist_name,prior_specialist_position,prior_rb_i5_hhi
2025,Jordan Mason,MIN,104.900000,130.900000,8.181250,4.212178,26.851077,153.000000,14.000000,0.205257,0.343434,0.339286,0.310345,Isaac Guerendo,RB,0.141414,4.000000,Isaac Guerendo,RB,0.178571,3.000000,Isaac Guerendo,RB,0.172414,3.000000,0.172414,0.303571,0.275862,0.206897,0.068966,0.000000,,,0.287982
2022,James Conner,ARI,28.400000,202.200000,15.553846,-11.915765,-19.316519,202.000000,39.000000,0.267338,0.424242,0.509091,0.600000,Kyler Murray,QB,0.242424,5.000000,Chase Edmonds,RB,0.218182,1.000000,Chase Edmonds,RB,0.166667,1.000000,0.166667,0.254545,0.233333,0.166667,0.066667,0.000000,,,0.659735
2023,Jonathan Taylor,IND,25.900000,156.400000,15.640000,-58.453728,-68.334143,192.000000,42.000000,0.264741,0.421053,0.484848,0.500000,Zack Moss,RB,0.210526,1.000000,Zack Moss,RB,0.212121,0.000000,Zack Moss,RB,0.166667,0.000000,0.166667,0.242424,0.222222,0.166667,0.000000,0.000000,,,0.469388
2022,Alvin Kamara,NO,10.900000,219.700000,14.646667,-12.697145,-3.442664,241.000000,67.000000,0.364557,0.552632,0.600000,0.666667,Taysom Hill,QB,0.197368,4.000000,Taysom Hill,QB,0.233333,4.000000,Taysom Hill,QB,0.166667,2.000000,0.111111,0.266667,0.166667,0.166667,0.000000,0.000000,,,0.662222
2022,David Montgomery,CHI,39.300000,181.700000,11.356250,-21.029076,-20.221145,225.000000,51.000000,0.334586,0.505882,0.545455,0.541667,Khalil Herbert,RB,0.141176,2.000000,Khalil Herbert,RB,0.113636,1.000000,Damien Williams,RB,0.166667,2.000000,0.166667,0.250000,0.166667,0.083333,0.083333,0.000000,,,0.485000
2023,Dameon Pierce,HOU,57.000000,76.700000,5.900000,-102.950774,-103.486126,220.000000,39.000000,0.336474,0.532258,0.500000,0.500000,Dare Ogunbowale,RB,0.145161,1.000000,Dare Ogunbowale,RB,0.156250,1.000000,Rex Burkhead,RB,0.166667,0.000000,0.166667,0.156250,0.166667,0.166667,0.000000,0.000000,,,0.440000
2024,Raheem Mostert,MIA,64.100000,74.900000,6.809091,-94.714350,-108.783915,209.000000,32.000000,0.281250,0.500000,0.600000,0.666667,De'Von Achane,RB,0.244681,5.000000,De'Von Achane,RB,0.200000,5.000000,De'Von Achane,RB,0.166667,3.000000,0.166667,0.072727,0.100000,0.066667,0.033333,0.000000,,,0.585734
2024,Joe Mixon,HOU,35.000000,240.500000,17.178571,41.518199,67.536433,257.000000,65.000000,0.392630,0.766234,0.826087,0.840000,Jake Browning,QB,0.103896,3.000000,Jake Browning,QB,0.130435,3.000000,Jake Browning,QB,0.160000,3.000000,0.000000,0.130435,0.160000,0.160000,0.000000,0.000000,,,1.000000
2024,Josh Jacobs,GB,23.600000,299.100000,17.594118,88.613424,136.612911,233.000000,54.000000,0.360963,0.550725,0.578947,0.526316,Zamir White,RB,0.231884,1.000000,Zamir White,RB,0.184211,1.000000,Aidan O'Connell,QB,0.157895,1.000000,0.157895,0.157895,0.263158,0.210526,0.052632,0.000000,,,0.561224
2023,Derrick Henry,TEN,17.900000,238.100000,14.005882,14.190850,31.289632,349.000000,41.000000,0.503294,0.800000,0.809524,0.789474,Ryan Tannehill,QB,0.080000,2.000000,Ryan Tannehill,QB,0.142857,2.000000,Ryan Tannehill,QB,0.157895,2.000000,0.000000,0.190476,0.210526,0.210526,0.000000,0.000000,,,1.000000
